country,year,age,sex,observations
DE,2007,5-14,f,4.0
DE,2007,5-14,m,2.0
DE,2007,55-64,f,46.0
DE,2007,55-64,m,184.0
DE,2007,65,f,178.0
DE,2007,65,m,362.0
DE,2008,0-14,f,6.0
DE,2008,0-14,m,2.0
DE,2008,0-4,f,1.0
DE,2008,0-4,m,0.0
DE,2008,15-24,f,35.0
DE,2008,15-24,m,40.0
DE,2008,25-34,f,68.0
DE,2008,25-34,m,95.0
DE,2008,35-44,f,61.0
DE,2008,35-44,m,114.0
DE,2008,45-54,f,41.0
DE,2008,45-54,m,142.0
DE,2008,5-14,f,5.0
DE,2008,5-14,m,2.0
DE,2008,55-64,f,33.0
DE,2008,55-64,m,96.0
DE,2008,65,f,71.0
DE,2008,65,m,148.0
DK,2005,0-14,f,2.0
DK,2005,0-14,m,0.0
DK,2005,0-4,f,0.0
DK,2005,0-4,m,0.0
DK,2005,15-24,f,11.0
DK,2005,15-24,m,12.0
DK,2005,25-34,f,5.0
DK,2005,25-34,m,12.0
DK,2005,35-44,f,13.0
DK,2005,35-44,m,18.0
DK,2005,45-54,f,9.0
DK,2005,45-54,m,23.0
DK,2005,5-14,f,2.0
DK,2005,5-14,m,0.0
DK,2005,55-64,f,3.0
DK,2005,55-64,m,9.0
DK,2005,65,f,5.0
DK,2005,65,m,7.0
DK,2006,0-14,f,1.0
DK,2006,0-14,m,0.0
DK,2006,0-4,f,0.0
DK,2006,0-4,m,0.0
DK,2006,15-24,f,6.0
DK,2006,15-24,m,8.0
DK,2006,25-34,f,12.0
DK,2006,25-34,m,13.0
DK,2006,35-44,f,9.0
DK,2006,35-44,m,15.0
DK,2006,45-54,f,5.0
DK,2006,45-54,m,27.0
DK,2006,5-14,f,1.0
DK,2006,5-14,m,0.0
DK,2006,55-64,f,5.0
DK,2006,55-64,m,10.0
DK,2006,65,f,4.0
DK,2006,65,m,8.0
DK,2007,0-14,f,1.0
DK,2007,0-14,m,0.0
DK,2007,0-4,f,1.0
DK,2007,0-4,m,0.0
DK,2007,15-24,f,8.0
DK,2007,15-24,m,6.0
DK,2007,25-34,f,12.0
DK,2007,25-34,m,12.0
DK,2007,35-44,f,8.0
DK,2007,35-44,m,20.0
DK,2007,45-54,f,4.0
DK,2007,45-54,m,29.0
DK,2007,5-14,f,0.0
DK,2007,5-14,m,0.0
DK,2007,55-64,f,5.0
DK,2007,55-64,m,16.0
DK,2007,65,f,8.0
DK,2007,65,m,6.0
DK,2008,0-14,f,2.0
DK,2008,0-14,m,0.0
DK,2008,0-4,f,0.0
DK,2008,0-4,m,0.0
DK,2008,15-24,f,5.0
DK,2008,15-24,m,8.0
DK,2008,25-34,f,7.0
DK,2008,25-34,m,15.0
DK,2008,35-44,f,5.0
DK,2008,35-44,m,9.0
DK,2008,45-54,f,8.0
DK,2008,45-54,m,24.0
DK,2008,5-14,f,2.0
DK,2008,5-14,m,0.0
DK,2008,55-64,f,4.0
DK,2008,55-64,m,10.0
DK,2008,65,f,1.0
DK,2008,65,m,8.0
DM,2008,0-14,f,0.0
DM,2008,0-14,m,0.0
DM,2008,0-4,f,0.0
DM,2008,0-4,m,0.0
DM,2008,15-24,f,0.0
DM,2008,15-24,m,0.0
DM,2008,25-34,f,0.0
DM,2008,25-34,m,0.0
DM,2008,35-44,f,0.0
DM,2008,35-44,m,1.0
DM,2008,45-54,f,0.0
DM,2008,45-54,m,2.0
DM,2008,5-14,f,0.0
DM,2008,5-14,m,0.0
DM,2008,55-64,f,0.0
DM,2008,55-64,m,0.0
DM,2008,65,f,0.0
DM,2008,65,m,0.0
DO,2008,0-14,f,34.0
DO,2008,0-14,m,16.0
DO,2008,0-4,f,4.0
DO,2008,0-4,m,2.0
DO,2008,15-24,f,288.0
DO,2008,15-24,m,322.0
DO,2008,25-34,f,272.0
DO,2008,25-34,m,398.0
DO,2008,35-44,f,163.0
DO,2008,35-44,m,337.0
DO,2008,45-54,f,96.0
DO,2008,45-54,m,198.0
DO,2008,5-14,f,30.0
DO,2008,5-14,m,14.0
DO,2008,55-64,f,55.0
DO,2008,55-64,m,122.0
DO,2008,65,f,52.0
DO,2008,65,m,105.0
EE,2005,0-14,f,0.0
EE,2005,0-14,m,0.0
EE,2005,0-4,f,0.0
EE,2005,0-4,m,0.0
EE,2005,15-24,f,6.0
EE,2005,15-24,m,9.0
EE,2005,25-34,f,11.0
EE,2005,25-34,m,25.0
EE,2005,35-44,f,8.0
EE,2005,35-44,m,19.0
EE,2005,45-54,f,11.0
EE,2005,45-54,m,40.0
EE,2005,5-14,f,0.0
EE,2005,5-14,m,0.0
EE,2005,55-64,f,6.0
EE,2005,55-64,m,12.0
EE,2005,65,f,8.0
EE,2005,65,m,7.0
EE,2006,0-14,f,0.0
EE,2006,0-14,m,0.0
EE,2006,0-4,f,0.0
EE,2006,0-4,m,0.0
EE,2006,15-24,f,3.0
EE,2006,15-24,m,4.0
EE,2006,25-34,f,9.0
EE,2006,25-34,m,19.0
EE,2006,35-44,f,10.0
EE,2006,35-44,m,24.0
EE,2006,45-54,f,9.0
EE,2006,45-54,m,40.0
EE,2006,5-14,f,0.0
EE,2006,5-14,m,0.0
EE,2006,55-64,f,4.0
EE,2006,55-64,m,12.0
EE,2006,65,f,6.0
EE,2006,65,m,7.0
EE,2007,0-14,f,0.0
EE,2007,0-14,m,0.0
EE,2007,0-4,f,0.0
EE,2007,0-4,m,0.0
EE,2007,15-24,f,2.0
EE,2007,15-24,m,6.0
EE,2007,25-34,f,5.0
EE,2007,25-34,m,26.0
EE,2007,35-44,f,5.0
EE,2007,35-44,m,32.0
EE,2007,45-54,f,8.0
EE,2007,45-54,m,37.0
EE,2007,5-14,f,0.0
EE,2007,5-14,m,0.0
EE,2007,55-64,f,7.0
EE,2007,55-64,m,21.0
EE,2007,65,f,6.0
EE,2007,65,m,12.0
EE,2008,0-14,f,0.0
EE,2008,0-14,m,0.0
EE,2008,0-4,f,0.0
EE,2008,0-4,m,0.0
EE,2008,15-24,f,2.0
EE,2008,15-24,m,3.0
EE,2008,25-34,f,7.0
EE,2008,25-34,m,14.0
EE,2008,35-44,f,6.0
EE,2008,35-44,m,26.0
EE,2008,45-54,f,8.0
EE,2008,45-54,m,34.0
EE,2008,5-14,f,0.0
EE,2008,5-14,m,0.0
EE,2008,55-64,f,4.0
EE,2008,55-64,m,12.0
EE,2008,65,f,15.0
EE,2008,65,m,13.0
EG,2008,0-14,f,7.0
EG,2008,0-14,m,13.0
EG,2008,0-4,f,0.0
EG,2008,0-4,m,0.0
EG,2008,15-24,f,382.0
EG,2008,15-24,m,581.0
EG,2008,25-34,f,412.0
EG,2008,25-34,m,640.0
EG,2008,35-44,f,308.0
EG,2008,35-44,m,807.0
EG,2008,45-54,f,195.0
EG,2008,45-54,m,791.0
EG,2008,5-14,f,7.0
EG,2008,5-14,m,13.0
EG,2008,55-64,f,169.0
EG,2008,55-64,m,431.0
EG,2008,65,f,113.0
EG,2008,65,m,242.0
ES,2005,0-14,f,10.0
ES,2005,0-14,m,13.0
ES,2005,0-4,f,6.0
ES,2005,0-4,m,6.0
ES,2005,15-24,f,142.0
ES,2005,15-24,m,166.0
ES,2005,25-34,f,252.0
ES,2005,25-34,m,394.0
ES,2005,35-44,f,151.0
ES,2005,35-44,m,367.0
ES,2005,45-54,f,63.0
ES,2005,45-54,m,230.0
ES,2005,5-14,f,4.0
ES,2005,5-14,m,7.0
ES,2005,55-64,f,24.0
ES,2005,55-64,m,140.0
ES,2005,65,f,108.0
ES,2005,65,m,230.0
ES,2006,0-14,f,17.0
ES,2006,0-14,m,18.0
ES,2006,0-4,f,8.0
ES,2006,0-4,m,12.0
ES,2006,15-24,f,122.0
ES,2006,15-24,m,142.0
ES,2006,25-34,f,264.0
ES,2006,25-34,m,332.0
ES,2006,35-44,f,137.0
ES,2006,35-44,m,311.0
ES,2006,45-54,f,48.0
ES,2006,45-54,m,232.0
ES,2006,5-14,f,9.0
ES,2006,5-14,m,6.0
ES,2006,55-64,f,19.0
ES,2006,55-64,m,105.0
ES,2006,65,f,77.0
ES,2006,65,m,175.0
ES,2007,0-14,f,12.0
ES,2007,0-14,m,10.0
ES,2007,0-4,f,8.0
ES,2007,0-4,m,4.0
ES,2007,15-24,f,164.0
ES,2007,15-24,m,184.0
ES,2007,25-34,f,291.0
ES,2007,25-34,m,375.0
ES,2007,35-44,f,136.0
ES,2007,35-44,m,379.0
ES,2007,45-54,f,63.0
ES,2007,45-54,m,257.0
ES,2007,5-14,f,4.0
ES,2007,5-14,m,6.0
ES,2007,55-64,f,23.0
ES,2007,55-64,m,128.0
ES,2007,65,f,93.0
ES,2007,65,m,191.0
ES,2008,0-14,f,13.0
ES,2008,0-14,m,18.0
ES,2008,0-4,f,3.0
ES,2008,0-4,m,9.0
ES,2008,15-24,f,168.0
ES,2008,15-24,m,179.0
ES,2008,25-34,f,294.0
ES,2008,25-34,m,355.0
ES,2008,35-44,f,173.0
ES,2008,35-44,m,349.0
ES,2008,45-54,f,68.0
ES,2008,45-54,m,268.0
ES,2008,5-14,f,10.0
ES,2008,5-14,m,9.0
ES,2008,55-64,f,16.0
ES,2008,55-64,m,157.0
ES,2008,65,f,73.0
ES,2008,65,m,200.0
FI,2005,0-14,f,0.0
FI,2005,0-14,m,1.0
FI,2005,0-4,f,0.0
FI,2005,0-4,m,0.0
FI,2005,15-24,f,3.0
FI,2005,15-24,m,5.0
FI,2005,25-34,f,4.0
FI,2005,25-34,m,4.0
FI,2005,35-44,f,1.0
FI,2005,35-44,m,3.0
FI,2005,45-54,f,0.0
FI,2005,45-54,m,14.0
FI,2005,5-14,f,0.0
FI,2005,5-14,m,1.0
FI,2005,55-64,f,6.0
FI,2005,55-64,m,11.0
FI,2005,65,f,20.0
FI,2005,65,m,25.0
FI,2006,0-14,f,0.0
FI,2006,0-14,m,0.0
FI,2006,0-4,f,0.0
FI,2006,0-4,m,0.0
FI,2006,15-24,f,2.0
FI,2006,15-24,m,5.0
FI,2006,25-34,f,4.0
FI,2006,25-34,m,6.0
FI,2006,35-44,f,3.0
FI,2006,35-44,m,5.0
FI,2006,45-54,f,4.0
FI,2006,45-54,m,9.0
FI,2006,5-14,f,0.0
FI,2006,5-14,m,0.0
FI,2006,55-64,f,1.0
FI,2006,55-64,m,6.0
FI,2006,65,f,19.0
FI,2006,65,m,20.0
FI,2007,0-14,f,0.0
FI,2007,0-14,m,0.0
FI,2007,0-4,f,0.0
FI,2007,0-4,m,0.0
FI,2007,15-24,f,6.0
FI,2007,15-24,m,4.0
FI,2007,25-34,f,4.0
FI,2007,25-34,m,5.0
FI,2007,35-44,f,2.0
FI,2007,35-44,m,5.0
FI,2007,45-54,f,5.0
FI,2007,45-54,m,10.0
FI,2007,5-14,f,0.0
FI,2007,5-14,m,0.0
FI,2007,55-64,f,0.0
FI,2007,55-64,m,7.0
FI,2007,65,f,13.0
FI,2007,65,m,24.0
FI,2008,0-14,f,0.0
FI,2008,0-14,m,0.0
FI,2008,0-4,f,0.0
FI,2008,0-4,m,0.0
FI,2008,15-24,f,4.0
FI,2008,15-24,m,3.0
FI,2008,25-34,f,3.0
FI,2008,25-34,m,5.0
FI,2008,35-44,f,2.0
FI,2008,35-44,m,8.0
FI,2008,45-54,f,4.0
FI,2008,45-54,m,13.0
FI,2008,5-14,f,0.0
FI,2008,5-14,m,0.0
FI,2008,55-64,f,2.0
FI,2008,55-64,m,11.0
FI,2008,65,f,14.0
FI,2008,65,m,35.0
FM,2008,0-14,f,1.0
FM,2008,0-14,m,1.0
FM,2008,0-4,f,1.0
FM,2008,0-4,m,1.0
FM,2008,15-24,f,10.0
FM,2008,15-24,m,9.0
FM,2008,25-34,f,2.0
FM,2008,25-34,m,3.0
FM,2008,35-44,f,5.0
FM,2008,35-44,m,1.0
FM,2008,45-54,f,1.0
FM,2008,45-54,m,3.0
FM,2008,5-14,f,0.0
FM,2008,5-14,m,0.0
FM,2008,55-64,f,0.0
FM,2008,55-64,m,1.0
FM,2008,65,f,0.0
FM,2008,65,m,0.0
FR,2005,0-14,f,16.0
FR,2005,0-14,m,12.0
FR,2005,0-4,f,5.0
FR,2005,0-4,m,7.0
FR,2005,15-24,f,104.0
FR,2005,15-24,m,127.0
FR,2005,25-34,f,134.0
FR,2005,25-34,m,212.0
FR,2005,35-44,f,82.0
FR,2005,35-44,m,222.0
FR,2005,45-54,f,56.0
FR,2005,45-54,m,196.0
FR,2005,5-14,f,11.0
FR,2005,5-14,m,5.0
FR,2005,55-64,f,38.0
FR,2005,55-64,m,134.0
FR,2005,65,f,180.0
FR,2005,65,m,205.0
FR,2006,0-14,f,15.0
FR,2006,0-14,m,17.0
FR,2006,0-4,f,4.0
FR,2006,0-4,m,8.0
FR,2006,15-24,f,112.0
FR,2006,15-24,m,137.0
FR,2006,25-34,f,158.0
FR,2006,25-34,m,214.0
FR,2006,35-44,f,91.0
FR,2006,35-44,m,238.0
FR,2006,45-54,f,67.0
FR,2006,45-54,m,209.0
FR,2006,5-14,f,11.0
FR,2006,5-14,m,9.0
FR,2006,55-64,f,44.0
FR,2006,55-64,m,153.0
FR,2006,65,f,170.0
FR,2006,65,m,278.0
FR,2007,0-14,f,20.0
FR,2007,0-14,m,17.0
FR,2007,0-4,f,6.0
FR,2007,0-4,m,8.0
FR,2007,15-24,f,127.0
FR,2007,15-24,m,120.0
FR,2007,25-34,f,167.0
FR,2007,25-34,m,225.0
FR,2007,35-44,f,91.0
FR,2007,35-44,m,196.0
FR,2007,45-54,f,56.0
FR,2007,45-54,m,219.0
FR,2007,5-14,f,14.0
FR,2007,5-14,m,9.0
FR,2007,55-64,f,61.0
FR,2007,55-64,m,156.0
FR,2007,65,f,188.0
FR,2007,65,m,273.0
FR,2008,0-14,f,8.0
FR,2008,0-14,m,10.0
FR,2008,0-4,f,1.0
FR,2008,0-4,m,5.0
FR,2008,15-24,f,57.0
FR,2008,15-24,m,73.0
FR,2008,25-34,f,96.0
FR,2008,25-34,m,136.0
FR,2008,35-44,f,71.0
FR,2008,35-44,m,161.0
FR,2008,45-54,f,50.0
FR,2008,45-54,m,134.0
FR,2008,5-14,f,7.0
FR,2008,5-14,m,5.0
FR,2008,55-64,f,38.0
FR,2008,55-64,m,110.0
FR,2008,65,f,101.0
FR,2008,65,m,175.0
GB,2005,0-14,f,14.0
GB,2005,0-14,m,9.0
GB,2005,0-4,f,0.0
GB,2005,0-4,m,4.0
GB,2005,15-24,f,115.0
GB,2005,15-24,m,135.0
GB,2005,25-34,f,163.0
GB,2005,25-34,m,200.0
GB,2005,35-44,f,80.0
GB,2005,35-44,m,166.0
GB,2005,45-54,f,39.0
GB,2005,45-54,m,95.0
GB,2005,5-14,f,14.0
GB,2005,5-14,m,5.0
GB,2005,55-64,f,28.0
GB,2005,55-64,m,95.0
GB,2005,65,f,83.0
GB,2005,65,m,124.0
GB,2006,0-14,f,22.0
GB,2006,0-14,m,9.0
GB,2006,0-4,f,2.0
GB,2006,0-4,m,3.0
GB,2006,15-24,f,168.0
GB,2006,15-24,m,173.0
GB,2006,25-34,f,192.0
GB,2006,25-34,m,244.0
GB,2006,35-44,f,112.0
GB,2006,35-44,m,213.0
GB,2006,45-54,f,60.0
GB,2006,45-54,m,148.0
GB,2006,5-14,f,20.0
GB,2006,5-14,m,6.0
GB,2006,55-64,f,42.0
GB,2006,55-64,m,88.0
GB,2006,65,f,97.0
GB,2006,65,m,191.0
GB,2007,0-14,f,20.0
GB,2007,0-14,m,13.0
GB,2007,0-4,f,1.0
GB,2007,0-4,m,2.0
GB,2007,15-24,f,145.0
GB,2007,15-24,m,183.0
GB,2007,25-34,f,222.0
GB,2007,25-34,m,286.0
GB,2007,35-44,f,91.0
GB,2007,35-44,m,223.0
GB,2007,45-54,f,58.0
GB,2007,45-54,m,169.0
GB,2007,5-14,f,19.0
GB,2007,5-14,m,11.0
GB,2007,55-64,f,45.0
GB,2007,55-64,m,97.0
GB,2007,65,f,138.0
GB,2007,65,m,202.0
GB,2008,0-14,f,16.0
GB,2008,0-14,m,5.0
GB,2008,0-4,f,4.0
GB,2008,0-4,m,1.0
GB,2008,15-24,f,134.0
GB,2008,15-24,m,125.0
GB,2008,25-34,f,181.0
GB,2008,25-34,m,188.0
GB,2008,35-44,f,90.0
GB,2008,35-44,m,155.0
GB,2008,45-54,f,27.0
GB,2008,45-54,m,111.0
GB,2008,5-14,f,12.0
GB,2008,5-14,m,4.0
GB,2008,55-64,f,28.0
GB,2008,55-64,m,61.0
GB,2008,65,f,62.0
GB,2008,65,m,99.0
GE,2006,0-14,f,5.0
GE,2006,0-14,m,3.0
GE,2006,0-4,f,0.0
GE,2006,0-4,m,0.0
GE,2006,15-24,f,115.0
GE,2006,15-24,m,315.0
GE,2006,25-34,f,110.0
GE,2006,25-34,m,392.0
GE,2006,35-44,f,71.0
GE,2006,35-44,m,300.0
GE,2006,45-54,f,60.0
GE,2006,45-54,m,241.0
GE,2006,5-14,f,5.0
GE,2006,5-14,m,3.0
GE,2006,55-64,f,26.0
GE,2006,55-64,m,86.0
GE,2006,65,f,34.0
GE,2006,65,m,72.0
GE,2007,0-14,f,6.0
GE,2007,0-14,m,7.0
GE,2007,0-4,f,2.0
GE,2007,0-4,m,6.0
GE,2007,15-24,f,153.0
GE,2007,15-24,m,277.0
GE,2007,25-34,f,140.0
GE,2007,25-34,m,388.0
GE,2007,35-44,f,67.0
GE,2007,35-44,m,308.0
GE,2007,45-54,f,54.0
GE,2007,45-54,m,230.0
GE,2007,5-14,f,4.0
GE,2007,5-14,m,1.0
GE,2007,55-64,f,17.0
GE,2007,55-64,m,96.0
GE,2007,65,f,46.0
GE,2007,65,m,75.0
GE,2008,0-14,f,108.0
GE,2008,0-14,m,161.0
GE,2008,0-4,f,25.0
GE,2008,0-4,m,39.0
GE,2008,15-24,f,396.0
GE,2008,15-24,m,710.0
GE,2008,25-34,f,374.0
GE,2008,25-34,m,974.0
GE,2008,35-44,f,252.0
GE,2008,35-44,m,906.0
GE,2008,45-54,f,171.0
GE,2008,45-54,m,739.0
GE,2008,5-14,f,83.0
GE,2008,5-14,m,122.0
GE,2008,55-64,f,109.0
GE,2008,55-64,m,427.0
GE,2008,65,f,160.0
GE,2008,65,m,347.0
GM,2008,0-14,f,9.0
GM,2008,0-14,m,7.0
GM,2008,0-4,f,1.0
GM,2008,0-4,m,1.0
GM,2008,15-24,f,94.0
GM,2008,15-24,m,151.0
GM,2008,25-34,f,133.0
GM,2008,25-34,m,307.0
GM,2008,35-44,f,90.0
GM,2008,35-44,m,167.0
GM,2008,45-54,f,43.0
GM,2008,45-54,m,125.0
GM,2008,5-14,f,8.0
GM,2008,5-14,m,6.0
GM,2008,55-64,f,45.0
GM,2008,55-64,m,87.0
GM,2008,65,f,8.0
GM,2008,65,m,34.0
GR,2005,0-14,f,0.0
GR,2005,0-14,m,1.0
GR,2005,0-4,f,0.0
GR,2005,0-4,m,0.0
GR,2005,15-24,f,13.0
GR,2005,15-24,m,14.0
GR,2005,25-34,f,18.0
GR,2005,25-34,m,25.0
GR,2005,35-44,f,8.0
GR,2005,35-44,m,22.0
GR,2005,45-54,f,7.0
GR,2005,45-54,m,14.0
GR,2005,5-14,f,0.0
GR,2005,5-14,m,1.0
GR,2005,55-64,f,2.0
GR,2005,55-64,m,12.0
GR,2005,65,f,17.0
GR,2005,65,m,23.0
GR,2006,0-14,f,0.0
GR,2006,0-14,m,0.0
GR,2006,0-4,f,0.0
GR,2006,0-4,m,0.0
GR,2006,15-24,f,13.0
GR,2006,15-24,m,11.0
GR,2006,25-34,f,12.0
GR,2006,25-34,m,32.0
GR,2006,35-44,f,8.0
GR,2006,35-44,m,22.0
GR,2006,45-54,f,5.0
GR,2006,45-54,m,24.0
GR,2006,5-14,f,0.0
GR,2006,5-14,m,0.0
GR,2006,55-64,f,6.0
GR,2006,55-64,m,22.0
GR,2006,65,f,24.0
GR,2006,65,m,27.0
GR,2007,0-14,f,0.0
GR,2007,0-14,m,1.0
GR,2007,0-4,f,0.0
GR,2007,0-4,m,0.0
GR,2007,15-24,f,13.0
GR,2007,15-24,m,21.0
GR,2007,25-34,f,19.0
GR,2007,25-34,m,22.0
GR,2007,35-44,f,11.0
GR,2007,35-44,m,34.0
GR,2007,45-54,f,8.0
GR,2007,45-54,m,28.0
GR,2007,5-14,f,0.0
GR,2007,5-14,m,1.0
GR,2007,55-64,f,3.0
GR,2007,55-64,m,15.0
GR,2007,65,f,24.0
GR,2007,65,m,54.0
GR,2008,0-14,f,0.0
GR,2008,0-14,m,0.0
GR,2008,0-4,f,0.0
GR,2008,0-4,m,0.0
GR,2008,15-24,f,5.0
GR,2008,15-24,m,5.0
GR,2008,25-34,f,9.0
GR,2008,25-34,m,14.0
GR,2008,35-44,f,2.0
GR,2008,35-44,m,12.0
GR,2008,45-54,f,4.0
GR,2008,45-54,m,4.0
GR,2008,5-14,f,0.0
GR,2008,5-14,m,0.0
GR,2008,55-64,f,3.0
GR,2008,55-64,m,6.0
GR,2008,65,f,7.0
GR,2008,65,m,9.0
GT,2008,0-14,f,22.0
GT,2008,0-14,m,19.0
GT,2008,0-4,f,0.0
GT,2008,0-4,m,0.0
GT,2008,15-24,f,199.0
GT,2008,15-24,m,220.0
GT,2008,25-34,f,189.0
GT,2008,25-34,m,257.0
GT,2008,35-44,f,162.0
GT,2008,35-44,m,193.0
GT,2008,45-54,f,154.0
GT,2008,45-54,m,163.0
GT,2008,5-14,f,22.0
GT,2008,5-14,m,19.0
GT,2008,55-64,f,100.0
GT,2008,55-64,m,124.0
GT,2008,65,f,101.0
GT,2008,65,m,167.0
GU,2008,0-14,f,0.0
GU,2008,0-14,m,0.0
GU,2008,0-4,f,0.0
GU,2008,0-4,m,0.0
GU,2008,15-24,f,1.0
GU,2008,15-24,m,0.0
GU,2008,25-34,f,2.0
GU,2008,25-34,m,1.0
GU,2008,35-44,f,0.0
GU,2008,35-44,m,7.0
GU,2008,45-54,f,1.0
GU,2008,45-54,m,8.0
GU,2008,5-14,f,0.0
GU,2008,5-14,m,0.0
GU,2008,55-64,f,1.0
GU,2008,55-64,m,3.0
GU,2008,65,f,3.0
GU,2008,65,m,4.0
GY,2008,0-14,f,4.0
GY,2008,0-14,m,7.0
GY,2008,0-4,f,0.0
GY,2008,0-4,m,2.0
GY,2008,15-24,f,20.0
GY,2008,15-24,m,29.0
GY,2008,25-34,f,23.0
GY,2008,25-34,m,51.0
GY,2008,35-44,f,13.0
GY,2008,35-44,m,71.0
GY,2008,45-54,f,12.0
GY,2008,45-54,m,47.0
GY,2008,5-14,f,4.0
GY,2008,5-14,m,5.0
GY,2008,55-64,f,3.0
GY,2008,55-64,m,22.0
GY,2008,65,f,7.0
GY,2008,65,m,11.0
HK,2008,0-14,f,8.0
HK,2008,0-14,m,0.0
HK,2008,0-4,f,0.0
HK,2008,0-4,m,0.0
HK,2008,15-24,f,65.0
HK,2008,15-24,m,59.0
HK,2008,25-34,f,84.0
HK,2008,25-34,m,79.0
HK,2008,35-44,f,65.0
HK,2008,35-44,m,95.0
HK,2008,45-54,f,45.0
HK,2008,45-54,m,166.0
HK,2008,5-14,f,8.0
HK,2008,5-14,m,0.0
HK,2008,55-64,f,40.0
HK,2008,55-64,m,208.0
HK,2008,65,f,131.0
HK,2008,65,m,414.0
HN,2008,0-14,f,26.0
HN,2008,0-14,m,11.0
HN,2008,0-4,f,0.0
HN,2008,0-4,m,1.0
HN,2008,15-24,f,152.0
HN,2008,15-24,m,254.0
HN,2008,25-34,f,170.0
HN,2008,25-34,m,263.0
HN,2008,35-44,f,114.0
HN,2008,35-44,m,202.0
HN,2008,45-54,f,90.0
HN,2008,45-54,m,140.0
HN,2008,5-14,f,26.0
HN,2008,5-14,m,10.0
HN,2008,55-64,f,82.0
HN,2008,55-64,m,103.0
HN,2008,65,f,116.0
HN,2008,65,m,174.0
HR,2005,0-14,f,1.0
HR,2005,0-14,m,1.0
HR,2005,0-4,f,0.0
HR,2005,0-4,m,0.0
HR,2005,15-24,f,12.0
HR,2005,15-24,m,24.0
HR,2005,25-34,f,18.0
HR,2005,25-34,m,27.0
HR,2005,35-44,f,15.0
HR,2005,35-44,m,48.0
HR,2005,45-54,f,11.0
HR,2005,45-54,m,72.0
HR,2005,5-14,f,1.0
HR,2005,5-14,m,1.0
HR,2005,55-64,f,6.0
HR,2005,55-64,m,47.0
HR,2005,65,f,56.0
HR,2005,65,m,34.0
HR,2006,0-14,f,2.0
HR,2006,0-14,m,0.0
HR,2006,0-4,f,1.0
HR,2006,0-4,m,0.0
HR,2006,15-24,f,16.0
HR,2006,15-24,m,20.0
HR,2006,25-34,f,26.0
HR,2006,25-34,m,23.0
HR,2006,35-44,f,16.0
HR,2006,35-44,m,58.0
HR,2006,45-54,f,22.0
HR,2006,45-54,m,69.0
HR,2006,5-14,f,1.0
HR,2006,5-14,m,0.0
HR,2006,55-64,f,7.0
HR,2006,55-64,m,30.0
HR,2006,65,f,59.0
HR,2006,65,m,48.0
HR,2008,0-14,f,1.0
HR,2008,0-14,m,0.0
HR,2008,0-4,f,0.0
HR,2008,0-4,m,0.0
HR,2008,15-24,f,11.0
HR,2008,15-24,m,15.0
HR,2008,25-34,f,16.0
HR,2008,25-34,m,25.0
HR,2008,35-44,f,13.0
HR,2008,35-44,m,34.0
HR,2008,45-54,f,15.0
HR,2008,45-54,m,63.0
HR,2008,5-14,f,1.0
HR,2008,5-14,m,0.0
HR,2008,55-64,f,12.0
HR,2008,55-64,m,32.0
HR,2008,65,f,44.0
HR,2008,65,m,47.0
HT,2008,0-14,f,154.0
HT,2008,0-14,m,90.0
HT,2008,0-4,f,19.0
HT,2008,0-4,m,8.0
HT,2008,15-24,f,1272.0
HT,2008,15-24,m,1137.0
HT,2008,25-34,f,1204.0
HT,2008,25-34,m,1337.0
HT,2008,35-44,f,677.0
HT,2008,35-44,m,696.0
HT,2008,45-54,f,378.0
HT,2008,45-54,m,491.0
HT,2008,5-14,f,135.0
HT,2008,5-14,m,82.0
HT,2008,55-64,f,179.0
HT,2008,55-64,m,242.0
HT,2008,65,f,139.0
HT,2008,65,m,175.0
HU,2005,0-14,f,1.0
HU,2005,0-14,m,0.0
HU,2005,0-4,f,0.0
HU,2005,0-4,m,0.0
HU,2005,15-24,f,5.0
HU,2005,15-24,m,6.0
HU,2005,25-34,f,13.0
HU,2005,25-34,m,24.0
HU,2005,35-44,f,11.0
HU,2005,35-44,m,67.0
HU,2005,45-54,f,22.0
HU,2005,45-54,m,117.0
HU,2005,5-14,f,1.0
HU,2005,5-14,m,0.0
HU,2005,55-64,f,15.0
HU,2005,55-64,m,67.0
HU,2005,65,f,33.0
HU,2005,65,m,39.0
HU,2006,0-14,f,3.0
HU,2006,0-14,m,2.0
HU,2006,0-4,f,0.0
HU,2006,0-4,m,0.0
HU,2006,15-24,f,17.0
HU,2006,15-24,m,10.0
HU,2006,25-34,f,16.0
HU,2006,25-34,m,31.0
HU,2006,35-44,f,19.0
HU,2006,35-44,m,71.0
HU,2006,45-54,f,28.0
HU,2006,45-54,m,98.0
HU,2006,5-14,f,3.0
HU,2006,5-14,m,2.0
HU,2006,55-64,f,11.0
HU,2006,55-64,m,54.0
HU,2006,65,f,29.0
HU,2006,65,m,33.0
HU,2007,0-14,f,3.0
HU,2007,0-14,m,0.0
HU,2007,0-4,f,1.0
HU,2007,0-4,m,0.0
HU,2007,15-24,f,12.0
HU,2007,15-24,m,7.0
HU,2007,25-34,f,22.0
HU,2007,25-34,m,31.0
HU,2007,35-44,f,18.0
HU,2007,35-44,m,48.0
HU,2007,45-54,f,17.0
HU,2007,45-54,m,103.0
HU,2007,5-14,f,2.0
HU,2007,5-14,m,0.0
HU,2007,55-64,f,6.0
HU,2007,55-64,m,50.0
